CapeBrumal: Мыс жестокости
Concordia: Холм изобилия
GelidSea: Ледяное море
HiemalStrait: Химальский пролив
FieldsOfRefuge: Поля утешения
NandaDevi: Леса Нанды
RupalValley: Долина деревьев
SeaOfLostWinds: Море потерянных ветров
WesternExpanse: Западное море
WesternZastrugi: Западный край

EastHills: Восточные холмы
EasternAcres: Восточные луга
GreenAcres: Зеленые луга
NorthAcres: Северные луга
NothernSnakeForest: Змеинное логово
SnakeForest: Змеинный лес
SnakeHills: Змеинные холмы
SnakeUphills: Змеинное подгорье
SouthenCoast: Южное побережье
WesternCoast: Западное побережье
WhiteTower: Белая башня
